                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83413,                  2.104,                 1.3857,                0.57291,                0.62244,                0.61297,                 0.4636,                0.76419,                 1.7615,                 1.3426,             0.00030272,             0.00030272,             0.00030272
                      2,                0.73941,                 1.3826,                  1.306,                0.68318,                0.69355,                0.71212,                0.57842,                 0.6616,                 1.2246,                 1.2381,             0.00030589,             0.00030589,             0.00030589
